node,gpu,n_neurons,n_steps,mode,rep,wall_s
inf03,NVIDIA A100-PCIE-40GB,500,50000,cpu,1,0.837974
inf03,NVIDIA A100-PCIE-40GB,500,50000,cpu,2,0.776219
inf03,NVIDIA A100-PCIE-40GB,500,50000,cpu,3,0.773179
inf03,NVIDIA A100-PCIE-40GB,500,50000,cpu,4,0.774621
inf03,NVIDIA A100-PCIE-40GB,500,50000,cpu,5,0.775344
inf03,NVIDIA A100-PCIE-40GB,500,50000,cpu,6,0.775304
inf03,NVIDIA A100-PCIE-40GB,500,50000,cpu,7,0.775165
inf03,NVIDIA A100-PCIE-40GB,500,50000,cpu,8,0.774632
inf03,NVIDIA A100-PCIE-40GB,500,50000,cpu,9,0.774283
inf03,NVIDIA A100-PCIE-40GB,500,50000,cpu,10,0.773773
inf03,NVIDIA A100-PCIE-40GB,500,50000,gpu,1,0.594821
inf03,NVIDIA A100-PCIE-40GB,500,50000,gpu,2,0.418580
inf03,NVIDIA A100-PCIE-40GB,500,50000,gpu,3,0.408217
inf03,NVIDIA A100-PCIE-40GB,500,50000,gpu,4,0.407315
inf03,NVIDIA A100-PCIE-40GB,500,50000,gpu,5,0.406991
inf03,NVIDIA A100-PCIE-40GB,500,50000,gpu,6,0.406331
inf03,NVIDIA A100-PCIE-40GB,500,50000,gpu,7,0.407219
inf03,NVIDIA A100-PCIE-40GB,500,50000,gpu,8,0.406619
inf03,NVIDIA A100-PCIE-40GB,500,50000,gpu,9,0.405567
inf03,NVIDIA A100-PCIE-40GB,500,50000,gpu,10,0.405873
inf03,NVIDIA A100-PCIE-40GB,5000,50000,cpu,1,5.857319
inf03,NVIDIA A100-PCIE-40GB,5000,50000,cpu,2,5.860023
inf03,NVIDIA A100-PCIE-40GB,5000,50000,cpu,3,5.850251
inf03,NVIDIA A100-PCIE-40GB,5000,50000,cpu,4,5.846781
inf03,NVIDIA A100-PCIE-40GB,5000,50000,cpu,5,5.861900
inf03,NVIDIA A100-PCIE-40GB,5000,50000,cpu,6,5.861715
inf03,NVIDIA A100-PCIE-40GB,5000,50000,cpu,7,5.849669
inf03,NVIDIA A100-PCIE-40GB,5000,50000,cpu,8,5.851895
inf03,NVIDIA A100-PCIE-40GB,5000,50000,cpu,9,5.852588
inf03,NVIDIA A100-PCIE-40GB,5000,50000,cpu,10,5.865834
inf03,NVIDIA A100-PCIE-40GB,5000,50000,gpu,1,0.654014
inf03,NVIDIA A100-PCIE-40GB,5000,50000,gpu,2,0.606530
inf03,NVIDIA A100-PCIE-40GB,5000,50000,gpu,3,0.613941
inf03,NVIDIA A100-PCIE-40GB,5000,50000,gpu,4,0.607871
inf03,NVIDIA A100-PCIE-40GB,5000,50000,gpu,5,0.627755
inf03,NVIDIA A100-PCIE-40GB,5000,50000,gpu,6,0.624235
inf03,NVIDIA A100-PCIE-40GB,5000,50000,gpu,7,0.580468
inf03,NVIDIA A100-PCIE-40GB,5000,50000,gpu,8,0.579358
inf03,NVIDIA A100-PCIE-40GB,5000,50000,gpu,9,0.574183
inf03,NVIDIA A100-PCIE-40GB,5000,50000,gpu,10,0.578766
inf03,NVIDIA A100-PCIE-40GB,50000,50000,cpu,1,58.591365
inf03,NVIDIA A100-PCIE-40GB,50000,50000,cpu,2,57.721560
inf03,NVIDIA A100-PCIE-40GB,50000,50000,cpu,3,58.589963
inf03,NVIDIA A100-PCIE-40GB,50000,50000,cpu,4,58.432638
inf03,NVIDIA A100-PCIE-40GB,50000,50000,cpu,5,58.440941
inf03,NVIDIA A100-PCIE-40GB,50000,50000,cpu,6,58.422142
inf03,NVIDIA A100-PCIE-40GB,50000,50000,cpu,7,58.493366
inf03,NVIDIA A100-PCIE-40GB,50000,50000,cpu,8,58.445560
inf03,NVIDIA A100-PCIE-40GB,50000,50000,cpu,9,59.109577
inf03,NVIDIA A100-PCIE-40GB,50000,50000,cpu,10,58.486523
inf03,NVIDIA A100-PCIE-40GB,50000,50000,gpu,1,2.658240
inf03,NVIDIA A100-PCIE-40GB,50000,50000,gpu,2,2.709364
inf03,NVIDIA A100-PCIE-40GB,50000,50000,gpu,3,2.645605
inf03,NVIDIA A100-PCIE-40GB,50000,50000,gpu,4,2.640401
inf03,NVIDIA A100-PCIE-40GB,50000,50000,gpu,5,2.648838
inf03,NVIDIA A100-PCIE-40GB,50000,50000,gpu,6,2.716024
inf03,NVIDIA A100-PCIE-40GB,50000,50000,gpu,7,2.629181
inf03,NVIDIA A100-PCIE-40GB,50000,50000,gpu,8,2.660559
inf03,NVIDIA A100-PCIE-40GB,50000,50000,gpu,9,2.710147
inf03,NVIDIA A100-PCIE-40GB,50000,50000,gpu,10,2.681661
