node,gpu,topology,ncomp_per_neuron,n_neurons,total_comps,mode,rep,t_per_step_s
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,100,1600,CPU,1,0.00010735295
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,100,1600,GPU,1,0.0004498006687
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,100,1700,CPU,1,0.0001130145398
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,100,1700,GPU,1,0.0004445386784
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,500,8000,CPU,1,0.0007301077247
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,500,8000,GPU,1,0.0004440092615
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,500,8500,CPU,1,0.0007649166243
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,500,8500,GPU,1,0.0004446969501
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,1000,16000,CPU,1,0.001464753066
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,1000,16000,GPU,1,0.0004634944811
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,1000,17000,CPU,1,0.001587556515
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,1000,17000,GPU,1,0.0004704826999
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,2000,32000,CPU,1,0.003111306826
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,2000,32000,GPU,1,0.0004833913275
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,2000,34000,CPU,1,0.00342530154
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,2000,34000,GPU,1,0.0004808948508
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,3000,48000,CPU,1,0.006319490501
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,3000,48000,GPU,1,0.0004942044971
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,3000,51000,CPU,1,0.006379168942
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,3000,51000,GPU,1,0.0004945328548
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,5000,80000,CPU,1,0.01371485645
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,5000,80000,GPU,1,0.0009356940334
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,5000,85000,CPU,1,0.01451010271
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,5000,85000,GPU,1,0.0009369871156
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,7000,112000,CPU,1,0.02134229703
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,7000,112000,GPU,1,0.0009533920071
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,7000,119000,CPU,1,0.02264653986
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,7000,119000,GPU,1,0.0009570336477
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,10000,160000,CPU,1,0.03242963444
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,10000,160000,GPU,1,0.001044426723
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,10000,170000,CPU,1,0.03378385414
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,10000,170000,GPU,1,0.001071702079
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,15000,240000,CPU,1,0.05132955204
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,15000,240000,GPU,1,0.001266684586
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,15000,255000,CPU,1,0.05275191394
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,15000,255000,GPU,1,0.001223892244
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,20000,320000,CPU,1,0.07007525184
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,20000,320000,GPU,1,0.001319804923
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,20000,340000,CPU,1,0.07229927236
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,20000,340000,GPU,1,0.001350576498
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,30000,480000,CPU,1,0.1056736946
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,30000,480000,GPU,1,0.001572139426
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,30000,510000,CPU,1,0.1097118464
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,30000,510000,GPU,1,0.001679268344
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,40000,640000,CPU,1,0.1431378538
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,40000,640000,GPU,1,0.001854657043
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,40000,680000,CPU,1,0.1475660844
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,40000,680000,GPU,1,0.001916686513
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,50000,800000,CPU,1,0.1720013358
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,50000,800000,GPU,1,0.002107502249
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,50000,850000,CPU,1,0.182187774
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,50000,850000,GPU,1,0.002171265266
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,100,1600,CPU,2,0.0001076263243
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,100,1600,GPU,2,0.0004383689946
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,100,1700,CPU,2,0.0001131173667
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,100,1700,GPU,2,0.0004301440503
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,500,8000,CPU,2,0.0007603819881
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,500,8000,GPU,2,0.0004467615769
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,500,8500,CPU,2,0.0007277370209
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,500,8500,GPU,2,0.0003957651201
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,1000,16000,CPU,2,0.001412305378
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,1000,16000,GPU,2,0.00048053552
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,1000,17000,CPU,2,0.001418985497
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,1000,17000,GPU,2,0.0004968681506
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,2000,32000,CPU,2,0.003012033304
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,2000,32000,GPU,2,0.0004770072443
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,2000,34000,CPU,2,0.003109726168
inf03_A100,NVIDIA A100-PCIE-40GB,branching-4x4,17,2000,34000,GPU,2,0.0005101541678
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,3000,48000,CPU,2,0.006279085364
inf03_A100,NVIDIA A100-PCIE-40GB,linear-chain,16,3000,48000,GPU,2,0.0005020867146
