node,gpu,arm,N,K,rep,wall_s
inf03,NVIDIA_A100-PCIE-40GB,CPU,1000,50000,8,0.3025
inf03,NVIDIA_A100-PCIE-40GB,CUDA,1000,50000,8,0.2645
inf03,NVIDIA_A100-PCIE-40GB,CPU,1000,0,9,0.2998
inf03,NVIDIA_A100-PCIE-40GB,CUDA,1000,0,9,0.3363
inf03,NVIDIA_A100-PCIE-40GB,CPU,1000,50000,9,0.3015
inf03,NVIDIA_A100-PCIE-40GB,CUDA,1000,50000,9,0.2336
inf03,NVIDIA_A100-PCIE-40GB,CPU,1000,0,10,0.3021
inf03,NVIDIA_A100-PCIE-40GB,CUDA,1000,0,10,0.3338
inf03,NVIDIA_A100-PCIE-40GB,CPU,1000,50000,10,0.3034
inf03,NVIDIA_A100-PCIE-40GB,CUDA,1000,50000,10,0.2222
inf03,NVIDIA_A100-PCIE-40GB,CPU,2000,0,1,0.8688
inf03,NVIDIA_A100-PCIE-40GB,CUDA,2000,0,1,0.4751
inf03,NVIDIA_A100-PCIE-40GB,CPU,2000,50000,1,0.8375
inf03,NVIDIA_A100-PCIE-40GB,CUDA,2000,50000,1,0.3996
inf03,NVIDIA_A100-PCIE-40GB,CPU,2000,0,2,0.8376
inf03,NVIDIA_A100-PCIE-40GB,CUDA,2000,0,2,0.4747
inf03,NVIDIA_A100-PCIE-40GB,CPU,2000,50000,2,0.8459
inf03,NVIDIA_A100-PCIE-40GB,CUDA,2000,50000,2,0.3888
inf03,NVIDIA_A100-PCIE-40GB,CPU,2000,0,3,0.8689
inf03,NVIDIA_A100-PCIE-40GB,CUDA,2000,0,3,0.5324
inf03,NVIDIA_A100-PCIE-40GB,CPU,2000,50000,3,0.8481
inf03,NVIDIA_A100-PCIE-40GB,CUDA,2000,50000,3,0.3996
inf03,NVIDIA_A100-PCIE-40GB,CPU,2000,0,4,0.8816
inf03,NVIDIA_A100-PCIE-40GB,CUDA,2000,0,4,0.4876
inf03,NVIDIA_A100-PCIE-40GB,CPU,2000,50000,4,0.8394
inf03,NVIDIA_A100-PCIE-40GB,CUDA,2000,50000,4,0.4001
inf03,NVIDIA_A100-PCIE-40GB,CPU,2000,0,5,0.8582
inf03,NVIDIA_A100-PCIE-40GB,CUDA,2000,0,5,0.4733
inf03,NVIDIA_A100-PCIE-40GB,CPU,2000,50000,5,0.8455
inf03,NVIDIA_A100-PCIE-40GB,CUDA,2000,50000,5,0.3997
inf03,NVIDIA_A100-PCIE-40GB,CPU,2000,0,6,0.8602
inf03,NVIDIA_A100-PCIE-40GB,CUDA,2000,0,6,0.5072
inf03,NVIDIA_A100-PCIE-40GB,CPU,2000,50000,6,0.8577
inf03,NVIDIA_A100-PCIE-40GB,CUDA,2000,50000,6,0.3997
inf03,NVIDIA_A100-PCIE-40GB,CPU,2000,0,7,0.8642
inf03,NVIDIA_A100-PCIE-40GB,CUDA,2000,0,7,0.4785
inf03,NVIDIA_A100-PCIE-40GB,CPU,2000,50000,7,0.8611
inf03,NVIDIA_A100-PCIE-40GB,CUDA,2000,50000,7,0.4009
inf03,NVIDIA_A100-PCIE-40GB,CPU,2000,0,8,0.8804
inf03,NVIDIA_A100-PCIE-40GB,CUDA,2000,0,8,0.4872
inf03,NVIDIA_A100-PCIE-40GB,CPU,2000,50000,8,0.8346
inf03,NVIDIA_A100-PCIE-40GB,CUDA,2000,50000,8,0.3989
