node,gpu,n_neurons,n_steps,mode,rep,t_total_s
inf03_A100,NVIDIA A100-PCIE-40GB,500,50000,CPU,1,0.550495
inf03_A100,NVIDIA A100-PCIE-40GB,500,50000,GPU,1,0.159000
inf03_A100,NVIDIA A100-PCIE-40GB,5000,50000,CPU,1,5.440051
inf03_A100,NVIDIA A100-PCIE-40GB,5000,50000,GPU,1,0.159500
inf03_A100,NVIDIA A100-PCIE-40GB,50000,50000,CPU,1,56.028762
inf03_A100,NVIDIA A100-PCIE-40GB,50000,50000,GPU,1,0.267100
inf03_A100,NVIDIA A100-PCIE-40GB,500,50000,CPU,2,0.550821
inf03_A100,NVIDIA A100-PCIE-40GB,500,50000,GPU,2,0.086300
inf03_A100,NVIDIA A100-PCIE-40GB,5000,50000,CPU,2,5.444542
inf03_A100,NVIDIA A100-PCIE-40GB,5000,50000,GPU,2,0.159500
inf03_A100,NVIDIA A100-PCIE-40GB,50000,50000,CPU,2,56.104442
inf03_A100,NVIDIA A100-PCIE-40GB,50000,50000,GPU,2,0.344700
inf03_A100,NVIDIA A100-PCIE-40GB,500,50000,CPU,3,0.548429
inf03_A100,NVIDIA A100-PCIE-40GB,500,50000,GPU,3,0.086300
inf03_A100,NVIDIA A100-PCIE-40GB,5000,50000,CPU,3,5.459403
inf03_A100,NVIDIA A100-PCIE-40GB,5000,50000,GPU,3,0.159500
inf03_A100,NVIDIA A100-PCIE-40GB,50000,50000,CPU,3,56.235483
inf03_A100,NVIDIA A100-PCIE-40GB,50000,50000,GPU,3,0.294100
inf03_A100,NVIDIA A100-PCIE-40GB,500,50000,CPU,4,0.548049
inf03_A100,NVIDIA A100-PCIE-40GB,500,50000,GPU,4,0.086200
inf03_A100,NVIDIA A100-PCIE-40GB,5000,50000,CPU,4,5.442340
inf03_A100,NVIDIA A100-PCIE-40GB,5000,50000,GPU,4,0.153400
inf03_A100,NVIDIA A100-PCIE-40GB,50000,50000,CPU,4,56.010136
inf03_A100,NVIDIA A100-PCIE-40GB,50000,50000,GPU,4,0.290400
inf03_A100,NVIDIA A100-PCIE-40GB,500,50000,CPU,5,0.548148
inf03_A100,NVIDIA A100-PCIE-40GB,500,50000,GPU,5,0.086300
inf03_A100,NVIDIA A100-PCIE-40GB,5000,50000,CPU,5,5.433898
inf03_A100,NVIDIA A100-PCIE-40GB,5000,50000,GPU,5,0.159500
inf03_A100,NVIDIA A100-PCIE-40GB,50000,50000,CPU,5,56.111054
inf03_A100,NVIDIA A100-PCIE-40GB,50000,50000,GPU,5,0.321700
inf03_A100,NVIDIA A100-PCIE-40GB,500,50000,CPU,6,0.549923
inf03_A100,NVIDIA A100-PCIE-40GB,500,50000,GPU,6,0.086300
inf03_A100,NVIDIA A100-PCIE-40GB,5000,50000,CPU,6,5.458506
inf03_A100,NVIDIA A100-PCIE-40GB,5000,50000,GPU,6,0.159500
inf03_A100,NVIDIA A100-PCIE-40GB,50000,50000,CPU,6,55.799012
inf03_A100,NVIDIA A100-PCIE-40GB,50000,50000,GPU,6,0.304000
inf03_A100,NVIDIA A100-PCIE-40GB,500,50000,CPU,7,0.549755
inf03_A100,NVIDIA A100-PCIE-40GB,500,50000,GPU,7,0.086300
inf03_A100,NVIDIA A100-PCIE-40GB,5000,50000,CPU,7,5.445303
inf03_A100,NVIDIA A100-PCIE-40GB,5000,50000,GPU,7,0.159500
inf03_A100,NVIDIA A100-PCIE-40GB,50000,50000,CPU,7,56.214772
inf03_A100,NVIDIA A100-PCIE-40GB,50000,50000,GPU,7,0.318200
inf03_A100,NVIDIA A100-PCIE-40GB,500,50000,CPU,8,0.549533
inf03_A100,NVIDIA A100-PCIE-40GB,500,50000,GPU,8,0.086300
inf03_A100,NVIDIA A100-PCIE-40GB,5000,50000,CPU,8,5.443847
inf03_A100,NVIDIA A100-PCIE-40GB,5000,50000,GPU,8,0.159500
inf03_A100,NVIDIA A100-PCIE-40GB,50000,50000,CPU,8,56.173833
inf03_A100,NVIDIA A100-PCIE-40GB,50000,50000,GPU,8,0.335600
inf03_A100,NVIDIA A100-PCIE-40GB,500,50000,CPU,9,0.549372
inf03_A100,NVIDIA A100-PCIE-40GB,500,50000,GPU,9,0.086300
inf03_A100,NVIDIA A100-PCIE-40GB,5000,50000,CPU,9,5.437521
inf03_A100,NVIDIA A100-PCIE-40GB,5000,50000,GPU,9,0.159500
inf03_A100,NVIDIA A100-PCIE-40GB,50000,50000,CPU,9,55.998513
inf03_A100,NVIDIA A100-PCIE-40GB,50000,50000,GPU,9,0.346100
inf03_A100,NVIDIA A100-PCIE-40GB,500,50000,CPU,10,0.546516
inf03_A100,NVIDIA A100-PCIE-40GB,500,50000,GPU,10,0.086200
inf03_A100,NVIDIA A100-PCIE-40GB,5000,50000,CPU,10,5.457778
inf03_A100,NVIDIA A100-PCIE-40GB,5000,50000,GPU,10,0.159500
inf03_A100,NVIDIA A100-PCIE-40GB,50000,50000,CPU,10,56.162293
inf03_A100,NVIDIA A100-PCIE-40GB,50000,50000,GPU,10,0.321100
