node,gpu,ncomp_per_neuron,n_neurons,total_comps,n_steps,mode,rep,wall_s
inf02,NVIDIA A40,16,100,1600,200,cpu,1,0.157883
inf02,NVIDIA A40,16,100,1600,200,cpu,2,0.132708
inf02,NVIDIA A40,16,100,1600,200,cpu,3,0.132334
inf02,NVIDIA A40,16,100,1600,200,cpu,4,0.132891
inf02,NVIDIA A40,16,100,1600,200,cpu,5,0.132226
inf02,NVIDIA A40,16,100,1600,200,cpu,6,0.131968
inf02,NVIDIA A40,16,100,1600,200,cpu,7,0.132296
inf02,NVIDIA A40,16,100,1600,200,cpu,8,0.132323
inf02,NVIDIA A40,16,100,1600,200,cpu,9,0.132301
inf02,NVIDIA A40,16,100,1600,200,cpu,10,0.132007
inf02,NVIDIA A40,16,100,1600,200,gpu,1,0.409822
inf02,NVIDIA A40,16,100,1600,200,gpu,2,0.315500
inf02,NVIDIA A40,16,100,1600,200,gpu,3,0.312448
inf02,NVIDIA A40,16,100,1600,200,gpu,4,0.298832
inf02,NVIDIA A40,16,100,1600,200,gpu,5,0.293839
inf02,NVIDIA A40,16,100,1600,200,gpu,6,0.300836
inf02,NVIDIA A40,16,100,1600,200,gpu,7,0.308287
inf02,NVIDIA A40,16,100,1600,200,gpu,8,0.307434
inf02,NVIDIA A40,16,100,1600,200,gpu,9,0.307002
inf02,NVIDIA A40,16,100,1600,200,gpu,10,0.307150
inf02,NVIDIA A40,16,500,8000,200,cpu,1,0.262992
inf02,NVIDIA A40,16,500,8000,200,cpu,2,0.257600
inf02,NVIDIA A40,16,500,8000,200,cpu,3,0.260957
inf02,NVIDIA A40,16,500,8000,200,cpu,4,0.264894
inf02,NVIDIA A40,16,500,8000,200,cpu,5,0.274309
inf02,NVIDIA A40,16,500,8000,200,cpu,6,0.258641
inf02,NVIDIA A40,16,500,8000,200,cpu,7,0.261121
inf02,NVIDIA A40,16,500,8000,200,cpu,8,0.256889
inf02,NVIDIA A40,16,500,8000,200,cpu,9,0.257982
inf02,NVIDIA A40,16,500,8000,200,cpu,10,0.273322
inf02,NVIDIA A40,16,500,8000,200,gpu,1,0.349384
inf02,NVIDIA A40,16,500,8000,200,gpu,2,0.340735
inf02,NVIDIA A40,16,500,8000,200,gpu,3,0.328686
inf02,NVIDIA A40,16,500,8000,200,gpu,4,0.340671
inf02,NVIDIA A40,16,500,8000,200,gpu,5,0.340352
inf02,NVIDIA A40,16,500,8000,200,gpu,6,0.340258
inf02,NVIDIA A40,16,500,8000,200,gpu,7,0.342626
inf02,NVIDIA A40,16,500,8000,200,gpu,8,0.327878
