node,gpu,ncomp,n_neurons,total_comps,mode,t_per_step_s
inf03_A100,NVIDIA A100-PCIE-40GB,16,100,1600,CPU,0.0001105313855
inf03_A100,NVIDIA A100-PCIE-40GB,16,100,1600,GPU,0.0004512288741
inf03_A100,NVIDIA A100-PCIE-40GB,16,500,8000,CPU,0.000769270176
inf03_A100,NVIDIA A100-PCIE-40GB,16,500,8000,GPU,0.0004609579487
inf03_A100,NVIDIA A100-PCIE-40GB,16,1000,16000,CPU,0.001467725067
inf03_A100,NVIDIA A100-PCIE-40GB,16,1000,16000,GPU,0.0004607025002
inf03_A100,NVIDIA A100-PCIE-40GB,16,2000,32000,CPU,0.003039471876
inf03_A100,NVIDIA A100-PCIE-40GB,16,2000,32000,GPU,0.0004761835649
inf03_A100,NVIDIA A100-PCIE-40GB,16,5000,80000,CPU,0.01317812746
inf03_A100,NVIDIA A100-PCIE-40GB,16,5000,80000,GPU,0.0009380467913
inf03_A100,NVIDIA A100-PCIE-40GB,16,10000,160000,CPU,0.03139156428
inf03_A100,NVIDIA A100-PCIE-40GB,16,10000,160000,GPU,0.001079329984
inf03_A100,NVIDIA A100-PCIE-40GB,4,1000,4000,CPU,0.0004039799528
inf03_A100,NVIDIA A100-PCIE-40GB,4,1000,4000,GPU,0.0003462370662
inf03_A100,NVIDIA A100-PCIE-40GB,8,1000,8000,CPU,0.0007554697849
inf03_A100,NVIDIA A100-PCIE-40GB,8,1000,8000,GPU,0.0004156420983
inf03_A100,NVIDIA A100-PCIE-40GB,32,1000,32000,CPU,0.002873605774
inf03_A100,NVIDIA A100-PCIE-40GB,32,1000,32000,GPU,0.0005320063659
inf03_A100,NVIDIA A100-PCIE-40GB,64,1000,64000,CPU,0.008996160257
inf03_A100,NVIDIA A100-PCIE-40GB,64,1000,64000,GPU,0.0006781387897
