node,gpu,arm,N,K,rep,wall_s
inf02,NVIDIA_A40,CPU,2000,50000,3,0.8643
inf02,NVIDIA_A40,CUDA,2000,50000,3,0.4065
inf02,NVIDIA_A40,CPU,2000,0,4,0.8192
inf02,NVIDIA_A40,CUDA,2000,0,4,0.5760
inf02,NVIDIA_A40,CPU,2000,50000,4,0.8199
inf02,NVIDIA_A40,CUDA,2000,50000,4,0.4050
inf02,NVIDIA_A40,CPU,2000,0,5,0.8216
inf02,NVIDIA_A40,CUDA,2000,0,5,0.5641
inf02,NVIDIA_A40,CPU,2000,50000,5,0.8101
inf02,NVIDIA_A40,CUDA,2000,50000,5,0.3986
inf02,NVIDIA_A40,CPU,2000,0,6,0.8263
inf02,NVIDIA_A40,CUDA,2000,0,6,0.5632
inf02,NVIDIA_A40,CPU,2000,50000,6,0.8062
inf02,NVIDIA_A40,CUDA,2000,50000,6,0.4032
inf02,NVIDIA_A40,CPU,2000,0,7,0.8114
inf02,NVIDIA_A40,CUDA,2000,0,7,0.5708
inf02,NVIDIA_A40,CPU,2000,50000,7,0.8203
inf02,NVIDIA_A40,CUDA,2000,50000,7,0.4060
inf02,NVIDIA_A40,CPU,2000,0,8,0.8202
inf02,NVIDIA_A40,CUDA,2000,0,8,0.5668
inf02,NVIDIA_A40,CPU,2000,50000,8,0.8096
inf02,NVIDIA_A40,CUDA,2000,50000,8,0.3982
inf02,NVIDIA_A40,CPU,2000,0,9,0.8654
inf02,NVIDIA_A40,CUDA,2000,0,9,0.5604
inf02,NVIDIA_A40,CPU,2000,50000,9,0.8120
inf02,NVIDIA_A40,CUDA,2000,50000,9,0.4038
inf02,NVIDIA_A40,CPU,2000,0,10,0.8670
inf02,NVIDIA_A40,CUDA,2000,0,10,0.5642
inf02,NVIDIA_A40,CPU,2000,50000,10,0.8625
inf02,NVIDIA_A40,CUDA,2000,50000,10,0.3988
inf02,NVIDIA_A40,CPU,5000,0,1,3.1464
inf02,NVIDIA_A40,CUDA,5000,0,1,1.4880
inf02,NVIDIA_A40,CPU,5000,50000,1,3.1280
inf02,NVIDIA_A40,CUDA,5000,50000,1,1.2043
inf02,NVIDIA_A40,CPU,5000,0,2,2.8441
inf02,NVIDIA_A40,CUDA,5000,0,2,1.4976
inf02,NVIDIA_A40,CPU,5000,50000,2,2.9198
inf02,NVIDIA_A40,CUDA,5000,50000,2,1.1855
inf02,NVIDIA_A40,CPU,5000,0,3,2.9504
inf02,NVIDIA_A40,CUDA,5000,0,3,1.5439
inf02,NVIDIA_A40,CPU,5000,50000,3,2.8478
inf02,NVIDIA_A40,CUDA,5000,50000,3,1.1998
inf02,NVIDIA_A40,CPU,5000,0,4,2.9114
inf02,NVIDIA_A40,CUDA,5000,0,4,1.5158
inf02,NVIDIA_A40,CPU,5000,50000,4,2.8560
inf02,NVIDIA_A40,CUDA,5000,50000,4,1.2060
inf02,NVIDIA_A40,CPU,5000,0,5,2.9032
inf02,NVIDIA_A40,CUDA,5000,0,5,1.4885
inf02,NVIDIA_A40,CPU,5000,50000,5,2.8640
inf02,NVIDIA_A40,CUDA,5000,50000,5,1.2118
inf02,NVIDIA_A40,CPU,5000,0,6,2.8454
inf02,NVIDIA_A40,CUDA,5000,0,6,1.5307
inf02,NVIDIA_A40,CPU,5000,50000,6,3.1349
inf02,NVIDIA_A40,CUDA,5000,50000,6,1.2089
inf02,NVIDIA_A40,CPU,5000,0,7,2.8458
inf02,NVIDIA_A40,CUDA,5000,0,7,1.5228
inf02,NVIDIA_A40,CPU,5000,50000,7,2.8530
inf02,NVIDIA_A40,CUDA,5000,50000,7,1.2452
inf02,NVIDIA_A40,CPU,5000,0,8,2.8962
inf02,NVIDIA_A40,CUDA,5000,0,8,1.5686
inf02,NVIDIA_A40,CPU,5000,50000,8,2.8276
inf02,NVIDIA_A40,CUDA,5000,50000,8,1.1959
inf02,NVIDIA_A40,CPU,5000,0,9,3.1479
inf02,NVIDIA_A40,CUDA,5000,0,9,1.5365
inf02,NVIDIA_A40,CPU,5000,50000,9,3.1527
inf02,NVIDIA_A40,CUDA,5000,50000,9,1.1924
inf02,NVIDIA_A40,CPU,5000,0,10,2.9534
inf02,NVIDIA_A40,CUDA,5000,0,10,1.5581
inf02,NVIDIA_A40,CPU,5000,50000,10,3.0466
inf02,NVIDIA_A40,CUDA,5000,50000,10,1.2279
inf02,NVIDIA_A40,CPU,10000,0,1,9.8981
inf02,NVIDIA_A40,CUDA,10000,0,1,6.9971
inf02,NVIDIA_A40,CPU,10000,50000,1,10.4503
inf02,NVIDIA_A40,CUDA,10000,50000,1,5.8824
inf02,NVIDIA_A40,CPU,10000,0,2,10.3142
inf02,NVIDIA_A40,CUDA,10000,0,2,7.0111
inf02,NVIDIA_A40,CPU,10000,50000,2,9.7330
inf02,NVIDIA_A40,CUDA,10000,50000,2,6.4135
inf02,NVIDIA_A40,CPU,10000,0,3,10.4629
inf02,NVIDIA_A40,CUDA,10000,0,3,6.8555
inf02,NVIDIA_A40,CPU,10000,50000,3,9.4211
inf02,NVIDIA_A40,CUDA,10000,50000,3,6.5098
inf02,NVIDIA_A40,CPU,10000,0,4,9.8934
inf02,NVIDIA_A40,CUDA,10000,0,4,6.6753
inf02,NVIDIA_A40,CPU,10000,50000,4,9.7046
inf02,NVIDIA_A40,CUDA,10000,50000,4,6.2181
inf02,NVIDIA_A40,CPU,10000,0,5,9.9647
inf02,NVIDIA_A40,CUDA,10000,0,5,6.4616
inf02,NVIDIA_A40,CPU,10000,50000,5,9.3536
inf02,NVIDIA_A40,CUDA,10000,50000,5,6.2015
inf02,NVIDIA_A40,CPU,10000,0,6,10.4478
inf02,NVIDIA_A40,CUDA,10000,0,6,6.4635
inf02,NVIDIA_A40,CPU,10000,50000,6,9.4026
inf02,NVIDIA_A40,CUDA,10000,50000,6,5.9897
inf02,NVIDIA_A40,CPU,10000,0,7,9.7103
inf02,NVIDIA_A40,CUDA,10000,0,7,6.9828
inf02,NVIDIA_A40,CPU,10000,50000,7,9.9130
inf02,NVIDIA_A40,CUDA,10000,50000,7,5.7551
inf02,NVIDIA_A40,CPU,10000,0,8,9.6273
inf02,NVIDIA_A40,CUDA,10000,0,8,7.0130
inf02,NVIDIA_A40,CPU,10000,50000,8,8.9743
inf02,NVIDIA_A40,CUDA,10000,50000,8,6.2327
inf02,NVIDIA_A40,CPU,10000,0,9,10.4795
inf02,NVIDIA_A40,CUDA,10000,0,9,6.6611
inf02,NVIDIA_A40,CPU,10000,50000,9,9.6457
inf02,NVIDIA_A40,CUDA,10000,50000,9,6.0850
inf02,NVIDIA_A40,CPU,10000,0,10,10.3121
inf02,NVIDIA_A40,CUDA,10000,0,10,6.8467
inf02,NVIDIA_A40,CPU,10000,50000,10,9.9137
inf02,NVIDIA_A40,CUDA,10000,50000,10,6.4009
inf02,NVIDIA_A40,CPU,20000,0,1,32.4783
inf02,NVIDIA_A40,CUDA,20000,0,1,23.8227
inf02,NVIDIA_A40,CPU,20000,50000,1,34.1973
inf02,NVIDIA_A40,CUDA,20000,50000,1,25.6063
inf02,NVIDIA_A40,CPU,20000,0,2,32.4931
inf02,NVIDIA_A40,CUDA,20000,0,2,24.7560
inf02,NVIDIA_A40,CPU,20000,50000,2,32.0080
inf02,NVIDIA_A40,CUDA,20000,50000,2,26.4699
inf02,NVIDIA_A40,CPU,20000,0,3,30.0384
inf02,NVIDIA_A40,CUDA,20000,0,3,26.2556
inf02,NVIDIA_A40,CPU,20000,50000,3,31.9467
inf02,NVIDIA_A40,CUDA,20000,50000,3,25.2991
inf02,NVIDIA_A40,CPU,20000,0,4,34.3170
inf02,NVIDIA_A40,CUDA,20000,0,4,25.7375
inf02,NVIDIA_A40,CPU,20000,50000,4,33.6352
inf02,NVIDIA_A40,CUDA,20000,50000,4,21.5133
inf02,NVIDIA_A40,CPU,20000,0,5,28.2960
inf02,NVIDIA_A40,CUDA,20000,0,5,24.7323
inf02,NVIDIA_A40,CPU,20000,50000,5,33.6377
inf02,NVIDIA_A40,CUDA,20000,50000,5,23.8317
inf02,NVIDIA_A40,CPU,20000,0,6,32.0355
inf02,NVIDIA_A40,CUDA,20000,0,6,27.2486
inf02,NVIDIA_A40,CPU,20000,50000,6,30.7984
inf02,NVIDIA_A40,CUDA,20000,50000,6,22.3163
inf02,NVIDIA_A40,CPU,20000,0,7,30.4394
inf02,NVIDIA_A40,CUDA,20000,0,7,27.5605
inf02,NVIDIA_A40,CPU,20000,50000,7,32.4767
inf02,NVIDIA_A40,CUDA,20000,50000,7,24.6545
inf02,NVIDIA_A40,CPU,20000,0,8,33.6312
inf02,NVIDIA_A40,CUDA,20000,0,8,24.8155
inf02,NVIDIA_A40,CPU,20000,50000,8,34.2026
inf02,NVIDIA_A40,CUDA,20000,50000,8,21.5830
inf02,NVIDIA_A40,CPU,20000,0,9,28.7141
inf02,NVIDIA_A40,CUDA,20000,0,9,24.8357
inf02,NVIDIA_A40,CPU,20000,50000,9,32.6898
