node,gpu,topology,ncomp_per_neuron,n_neurons,total_comps,mode,rep,t_per_step_s
inf02,NVIDIA A40,linear-chain,16,100,1600,CPU,1,0.0001080706006
inf02,NVIDIA A40,linear-chain,16,100,1600,GPU,1,0.00104422995
inf02,NVIDIA A40,branching-4x4,17,100,1700,CPU,1,0.0001124039558
inf02,NVIDIA A40,branching-4x4,17,100,1700,GPU,1,0.0006691196845
inf02,NVIDIA A40,linear-chain,16,500,8000,CPU,1,0.000775280311
inf02,NVIDIA A40,linear-chain,16,500,8000,GPU,1,0.0006786307409
inf02,NVIDIA A40,branching-4x4,17,500,8500,CPU,1,0.0006987973338
inf02,NVIDIA A40,branching-4x4,17,500,8500,GPU,1,0.0006824779369
inf02,NVIDIA A40,linear-chain,16,1000,16000,CPU,1,0.001404663069
inf02,NVIDIA A40,linear-chain,16,1000,16000,GPU,1,0.000735953734
inf02,NVIDIA A40,branching-4x4,17,1000,17000,CPU,1,0.001408984264
inf02,NVIDIA A40,branching-4x4,17,1000,17000,GPU,1,0.0007644382261
inf02,NVIDIA A40,linear-chain,16,2000,32000,CPU,1,0.00357058105
inf02,NVIDIA A40,linear-chain,16,2000,32000,GPU,1,0.001047327476
inf02,NVIDIA A40,branching-4x4,17,2000,34000,CPU,1,0.00403732033
inf02,NVIDIA A40,branching-4x4,17,2000,34000,GPU,1,0.001055047626
inf02,NVIDIA A40,linear-chain,16,3000,48000,CPU,1,0.007471782253
inf02,NVIDIA A40,linear-chain,16,3000,48000,GPU,1,0.001106526029
inf02,NVIDIA A40,branching-4x4,17,3000,51000,CPU,1,0.007722276165
inf02,NVIDIA A40,branching-4x4,17,3000,51000,GPU,1,0.001109306585
inf02,NVIDIA A40,linear-chain,16,5000,80000,CPU,1,0.01463069374
inf02,NVIDIA A40,linear-chain,16,5000,80000,GPU,1,0.002129573307
inf02,NVIDIA A40,branching-4x4,17,5000,85000,CPU,1,0.01529590758
inf02,NVIDIA A40,branching-4x4,17,5000,85000,GPU,1,0.002128025212
inf02,NVIDIA A40,linear-chain,16,7000,112000,CPU,1,0.02131669738
inf02,NVIDIA A40,linear-chain,16,7000,112000,GPU,1,0.002224305678
inf02,NVIDIA A40,branching-4x4,17,7000,119000,CPU,1,0.02231300094
inf02,NVIDIA A40,branching-4x4,17,7000,119000,GPU,1,0.002187133377
inf02,NVIDIA A40,linear-chain,16,10000,160000,CPU,1,0.03213603497
inf02,NVIDIA A40,linear-chain,16,10000,160000,GPU,1,0.002304705707
inf02,NVIDIA A40,branching-4x4,17,10000,170000,CPU,1,0.03259078156
inf02,NVIDIA A40,branching-4x4,17,10000,170000,GPU,1,0.002299502763
inf02,NVIDIA A40,linear-chain,16,15000,240000,CPU,1,0.04995371645
inf02,NVIDIA A40,linear-chain,16,15000,240000,GPU,1,0.002438729731
inf02,NVIDIA A40,branching-4x4,17,15000,255000,CPU,1,0.05194818757
inf02,NVIDIA A40,branching-4x4,17,15000,255000,GPU,1,0.002449635213
inf02,NVIDIA A40,linear-chain,16,20000,320000,CPU,1,0.06728161032
inf02,NVIDIA A40,linear-chain,16,20000,320000,GPU,1,0.002635597641
inf02,NVIDIA A40,branching-4x4,17,20000,340000,CPU,1,0.06889237924
inf02,NVIDIA A40,branching-4x4,17,20000,340000,GPU,1,0.002709059824
inf02,NVIDIA A40,linear-chain,16,30000,480000,CPU,1,0.1021342017
inf02,NVIDIA A40,linear-chain,16,30000,480000,GPU,1,0.00312958143
inf02,NVIDIA A40,branching-4x4,17,30000,510000,CPU,1,0.1058491967
inf02,NVIDIA A40,branching-4x4,17,30000,510000,GPU,1,0.003271436691
inf02,NVIDIA A40,linear-chain,16,40000,640000,CPU,1,0.1351893772
inf02,NVIDIA A40,linear-chain,16,40000,640000,GPU,1,0.003799483451
inf02,NVIDIA A40,branching-4x4,17,40000,680000,CPU,1,0.1371837443
inf02,NVIDIA A40,branching-4x4,17,40000,680000,GPU,1,0.003941479325
inf02,NVIDIA A40,linear-chain,16,50000,800000,CPU,1,0.1666652159
inf02,NVIDIA A40,linear-chain,16,50000,800000,GPU,1,0.004412914677
inf02,NVIDIA A40,branching-4x4,17,50000,850000,CPU,1,0.1695145867
