session,mode,phase,iteration,neurons,steps,real_seconds,error_lines,exit_code
1,CPU,warmup,0,30000,20000,27.389279,0,0
1,CPU,run,1,30000,20000,26.320870,0,0
1,CPU,run,2,30000,20000,26.758278,0,0
1,CPU,run,3,30000,20000,26.773290,0,0
1,CPU,run,4,30000,20000,26.756391,0,0
1,CPU,run,5,30000,20000,26.702115,0,0
1,CPU,run,6,30000,20000,26.952367,0,0
1,CPU,run,7,30000,20000,26.296361,0,0
1,CPU,run,8,30000,20000,26.653235,0,0
1,CPU,run,9,30000,20000,26.605533,0,0
1,CPU,run,10,30000,20000,26.521751,0,0
1,CPU,run,11,30000,20000,26.445062,0,0
1,CPU,run,12,30000,20000,26.389710,0,0
1,GPU,warmup,0,30000,20000,27.495877,0,0
1,GPU,run,1,30000,20000,27.063480,0,0
1,GPU,run,2,30000,20000,27.578074,0,0
1,GPU,run,3,30000,20000,26.609277,0,0
1,GPU,run,4,30000,20000,27.137725,0,0
1,GPU,run,5,30000,20000,27.344877,0,0
1,GPU,run,6,30000,20000,27.745322,0,0
1,GPU,run,7,30000,20000,27.401714,0,0
1,GPU,run,8,30000,20000,27.178551,0,0
1,GPU,run,9,30000,20000,27.292189,0,0
1,GPU,run,10,30000,20000,27.675872,0,0
1,GPU,run,11,30000,20000,27.866927,0,0
