N,mode,rep,seconds
5000,CPU,23,0.290376
5000,CPU,24,0.291711
5000,CPU,25,0.291700
5000,CPU,26,0.287856
5000,CPU,27,0.312777
5000,CPU,28,0.284020
5000,CPU,29,0.290483
5000,GPU,0,0.023300
5000,GPU,1,0.022200
5000,GPU,2,0.017600
5000,GPU,3,0.017700
5000,GPU,4,0.018800
5000,GPU,5,0.018200
5000,GPU,6,0.019700
5000,GPU,7,0.018900
5000,GPU,8,0.023000
5000,GPU,9,0.018000
5000,GPU,10,0.017700
5000,GPU,11,0.019300
5000,GPU,12,0.017700
5000,GPU,13,0.017500
5000,GPU,14,0.017800
5000,GPU,15,0.017800
5000,GPU,16,0.017900
5000,GPU,17,0.018000
5000,GPU,18,0.017400
5000,GPU,19,0.018000
5000,GPU,20,0.025700
5000,GPU,21,0.019300
5000,GPU,22,0.020900
5000,GPU,23,0.018000
5000,GPU,24,0.018000
5000,GPU,25,0.019600
5000,GPU,26,0.019200
5000,GPU,27,0.040000
5000,GPU,28,0.018000
5000,GPU,29,0.018900
10000,CPU,0,0.579528
10000,CPU,1,0.580016
10000,CPU,2,0.583111
10000,CPU,3,0.584364
10000,CPU,4,0.579059
10000,CPU,5,0.579659
10000,CPU,6,0.585056
10000,CPU,7,0.586121
10000,CPU,8,0.587734
10000,CPU,9,0.577741
10000,CPU,10,0.585390
10000,CPU,11,0.587857
10000,CPU,12,0.631673
10000,CPU,13,0.578012
10000,CPU,14,0.578228
10000,CPU,15,0.590588
10000,CPU,16,0.576164
10000,CPU,17,0.576718
10000,CPU,18,0.587733
10000,CPU,19,0.585797
10000,CPU,20,0.583657
10000,CPU,21,0.581781
10000,CPU,22,0.581822
10000,CPU,23,0.576413
10000,CPU,24,0.584424
10000,CPU,25,0.581094
10000,CPU,26,0.573126
10000,CPU,27,0.583021
10000,CPU,28,0.575054
10000,CPU,29,0.580129
10000,GPU,0,0.048800
10000,GPU,1,0.046600
10000,GPU,2,0.043200
10000,GPU,3,0.045200
10000,GPU,4,0.043000
10000,GPU,5,0.044000
10000,GPU,6,0.046700
10000,GPU,7,0.044600
10000,GPU,8,0.044000
10000,GPU,9,0.042900
10000,GPU,10,0.043300
10000,GPU,11,0.043300
10000,GPU,12,0.043800
10000,GPU,13,0.044100
10000,GPU,14,0.044300
10000,GPU,15,0.048500
10000,GPU,16,0.044600
10000,GPU,17,0.045200
10000,GPU,18,0.044200
10000,GPU,19,0.045000
10000,GPU,20,0.043900
10000,GPU,21,0.043000
10000,GPU,22,0.045300
10000,GPU,23,0.043500
10000,GPU,24,0.043700
10000,GPU,25,0.043900
10000,GPU,26,0.043800
10000,GPU,27,0.044700
10000,GPU,28,0.043400
10000,GPU,29,0.044600
20000,CPU,0,1.215754
20000,CPU,1,1.154240
20000,CPU,2,1.182587
20000,CPU,3,1.178626
20000,CPU,4,1.168318
20000,CPU,5,1.145310
20000,CPU,6,1.166313
20000,CPU,7,1.159082
20000,CPU,8,1.209701
20000,CPU,9,1.155609
20000,CPU,10,1.253914
20000,CPU,11,1.210939
20000,CPU,12,1.165720
20000,CPU,13,1.181483
20000,CPU,14,1.152098
20000,CPU,15,1.175535
20000,CPU,16,1.150584
20000,CPU,17,1.145272
20000,CPU,18,1.162392
20000,CPU,19,1.165334
20000,CPU,20,1.164406
20000,CPU,21,1.148066
20000,CPU,22,1.165709
20000,CPU,23,1.155564
20000,CPU,24,1.169083
20000,CPU,25,1.156891
20000,CPU,26,1.197893
20000,CPU,27,1.165174
20000,CPU,28,1.178140
20000,CPU,29,1.168115
20000,GPU,0,0.329500
20000,GPU,1,0.339200
20000,GPU,2,0.334600
