benchmark,size_key,size_value,config,steps,cpu_mean_s,gpu_mean_s,speedup_cpu_over_gpu
biophysical_cellscale_benchmark,neurons,10000,N10000_S20000,20000,4.219266,4.944313,0.853357
biophysical_cellscale_benchmark,neurons,7000,N7000_S20000,20000,2.125212,2.126435,0.999425
mesoscale_sparse_benchmark,neurons,35000,N35000_S20000,20000,35.052975,32.312771,1.084803
mesoscale_sparse_benchmark,neurons,45000,N45000_S20000,20000,61.821758,56.030516,1.103359
region_proxy_microcircuit_benchmark,region_cells,50000,EX200x200_INH100x100_S20000,20000,0.836714,0.124428,6.724483
region_proxy_microcircuit_benchmark,region_cells,72000,EX240x240_INH120x120_S20000,20000,1.180866,0.178325,6.621988
