model,n,mean_s,sd_s,cv_pct,ci95_s,min_s,max_s,mean_error_lines
Cal8.g,30,0.953592,0.012490,1.31,0.004469,0.914810,0.979712,111.00
Cal7difshell.g,30,0.668489,0.006950,1.04,0.002487,0.659863,0.680299,17.00
